section_name,section_url,page_url,page_title,pdf_url,filename
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/update-standardised-interest-rate-shock-scenarios,Update of the Standardised Interest Rate Shock Scenarios | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_10621_VER1.pdf,SAMA_EN_10621_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/rules-stress-testing,Rules on Stress Testing | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_4226_VER1.pdf,SAMA_EN_4226_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/sama%E2%80%99s-general-guidance-concerning-amended-lcr,SAMA’s General Guidance Concerning Amended LCR | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_2788_VER1.pdf,SAMA_EN_2788_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/sama%E2%80%99s-specific-guidance-complete-prudential-returns-concerning-amended-lcr,SAMA’s Specific Guidance to Complete Prudential Returns Concerning Amended LCR | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3417_VER1.pdf,SAMA_EN_3417_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/package-prudential-return-concerning-amended-lcr,Package of Prudential Return Concerning Amended LCR | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3456_VER1.pdf,SAMA_EN_3456_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/samas-comments-concerning-amended-lcr-faqs-0,SAMA's Comments Concerning Amended LCR - FAQs | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3516_VER1.pdf,SAMA_EN_3516_VER1.pdf
Payment Systems,https://rulebook.sama.gov.sa/en/payment-systems-and-payment-services-providers,https://rulebook.sama.gov.sa/en/national-discretion-items-concerning-amended-lcr,National Discretion Items Concerning Amended LCR | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_3539_VER1.pdf,SAMA_EN_3539_VER1.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/licensing-provisions-1,Licensing Provisions | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/License_Application_for_Money_Changing_Business-EN.xlsx,sama_b50a1b5709bb8eaf.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/licensing-provisions-1,Licensing Provisions | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/Letter%20of%20Guarantee%20For%20the%20Purposes%20of%20Conducting%20Money%20Changing%20Business%20in%20the%20Kingdom.docx,sama_84810f23949eacbf.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/licensing-provisions-1,Licensing Provisions | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/Cash%20Reserve%20Deposit%20Certificate%20for%20those%20practicing%20money%20changing%20business%20in%20Saudi%20Arabia%20(1).docx,sama_b8138d89308a5ac6.pdf
Money Exchange Sector,https://rulebook.sama.gov.sa/en/money-exchange-sector-0,https://rulebook.sama.gov.sa/en/saudi-central-bank-law,Saudi Central Bank Law | SAMA Rulebook,https://rulebook.sama.gov.sa/sites/default/files/en_net_file_store/SAMA_EN_1293_VER1.pdf,SAMA_EN_1293_VER1.pdf
